amount,timestamp,transaction_type,mcc_code,merchant_city,merchant_state,merchant_country,entry_mode,card_present,is_international,response_code,txn_count_1h,txn_amount_1h,distinct_merchants_24h,distinct_countries_30d,is_fraud
24.51,2024-08-20T08:00:00.000000,purchase,5912,Chicago,NY,US,contactless,false,false,00,4,189.47,4,2,false
55.71,2024-06-05T08:00:00.000000,refund,5411,Austin,IL,US,ecommerce,true,false,00,1,33.83,2,3,false
314.1,2024-04-28T03:00:00.000000,purchase,7011,Austin,NY,US,contactless,true,false,00,4,213.66,8,2,false
396.25,2024-04-08T10:00:00.000000,refund,4111,Chicago,IL,US,contactless,false,false,00,1,275.24,5,2,false
211.66,2024-03-02T23:00:00.000000,purchase,5812,Chicago,TX,US,chip,true,false,00,4,146.42,2,2,false
32.7,2024-10-01T22:00:00.000000,purchase,7011,Chicago,IL,US,ecommerce,false,false,51,4,67.27,1,1,false
191.43,2024-04-04T06:00:00.000000,purchase,5912,Chicago,TX,US,contactless,true,false,00,3,347.31,2,3,false
498.06,2024-04-20T23:00:00.000000,purchase,5912,Austin,TX,US,chip,false,false,51,0,137.21,2,2,false
265.03,2024-09-04T08:00:00.000000,refund,7011,Chicago,IL,US,ecommerce,true,false,51,4,263.53,5,3,false
485.57,2024-10-28T16:00:00.000000,refund,4111,Chicago,TX,US,ecommerce,false,false,00,2,262.32,8,2,false
430.53,2024-11-01T09:00:00.000000,purchase,5812,New York,IL,US,chip,false,false,00,3,347.91,1,1,false
6.73,2024-02-21T06:00:00.000000,refund,5912,Austin,TX,US,chip,true,false,00,3,306.03,8,3,false
360.64,2024-05-31T07:00:00.000000,refund,5812,Chicago,IL,US,chip,true,false,00,0,54.65,3,3,false
341.17,2024-07-03T05:00:00.000000,refund,5411,Chicago,TX,US,ecommerce,true,false,00,1,364.86,1,1,false
268.95,2024-06-03T00:00:00.000000,refund,7011,New York,NY,US,chip,true,false,00,1,314.49,1,1,false
134.15,2024-12-28T17:00:00.000000,refund,5912,Chicago,IL,US,contactless,true,false,00,4,493.59,7,1,false
320.84,2024-03-05T08:00:00.000000,refund,5411,Chicago,IL,US,chip,true,false,00,3,241.83,5,2,false
56.66,2024-01-24T01:00:00.000000,purchase,5812,Chicago,IL,US,contactless,false,false,00,4,344.33,3,2,false
217.95,2024-10-10T09:00:00.000000,refund,5411,New York,TX,US,contactless,false,false,00,2,466.95,6,3,false
227.41,2024-12-23T04:00:00.000000,purchase,4111,Austin,NY,US,contactless,true,false,51,1,493.14,7,2,false
476.95,2024-11-22T15:00:00.000000,refund,5814,New York,TX,US,contactless,true,false,51,4,143.59,1,1,false
438.05,2024-02-22T00:00:00.000000,purchase,4111,Austin,TX,US,chip,true,false,00,4,304.42,8,3,false
132.43,2024-10-20T09:00:00.000000,refund,5812,New York,IL,US,ecommerce,true,false,00,3,158.24,8,2,false
250.79,2024-08-28T15:00:00.000000,refund,4111,New York,TX,US,contactless,true,false,00,2,262.7,7,1,false
90.15,2024-08-13T10:00:00.000000,refund,5912,Chicago,TX,US,chip,true,false,51,2,497.51,7,1,false
456.4,2024-04-04T01:00:00.000000,purchase,5812,Austin,NY,US,contactless,false,false,00,4,176.93,2,2,false
435.39,2024-05-09T15:00:00.000000,refund,4111,Austin,TX,US,chip,false,false,00,2,64.86,4,3,false
149.92,2024-02-28T02:00:00.000000,purchase,7011,Austin,NY,US,contactless,false,false,00,2,281.32,1,2,false
319.84,2024-07-24T15:00:00.000000,purchase,7011,Austin,IL,US,ecommerce,true,false,00,3,259.85,7,2,false
304.88,2024-02-07T18:00:00.000000,refund,4111,Chicago,NY,US,contactless,true,false,00,3,315.93,8,1,false
77.27,2024-11-18T21:00:00.000000,refund,5912,Chicago,NY,US,ecommerce,true,false,00,2,246.25,2,3,false
381.49,2024-01-28T04:00:00.000000,refund,5912,New York,IL,US,ecommerce,true,false,00,4,89.95,6,2,false
270.15,2024-03-17T18:00:00.000000,purchase,5411,New York,NY,US,chip,true,true,51,1,304.7,6,3,false
389.53,2024-06-04T02:00:00.000000,purchase,5912,Chicago,NY,US,contactless,true,false,51,4,354.29,5,3,false
265.65,2024-05-07T03:00:00.000000,refund,5812,New York,IL,US,contactless,true,false,51,4,489.63,7,1,false
1.29,2024-10-12T13:00:00.000000,refund,7011,Chicago,TX,US,ecommerce,true,false,00,1,0.79,1,1,false
162.75,2024-11-06T19:00:00.000000,refund,5812,Austin,NY,US,contactless,true,false,00,3,11.99,2,1,false
10.72,2024-11-12T07:00:00.000000,purchase,7011,New York,TX,US,chip,true,false,51,4,312.73,6,2,false
464.62,2024-09-24T12:00:00.000000,purchase,5814,Chicago,IL,US,ecommerce,true,false,51,2,58.96,6,2,false
439.48,2024-08-18T14:00:00.000000,refund,5912,Austin,IL,US,ecommerce,true,false,00,2,424.03,2,3,false
416.0,2024-06-01T18:00:00.000000,refund,4111,Austin,TX,US,chip,true,false,51,3,399.78,8,2,false
154.45,2024-08-07T09:00:00.000000,purchase,7011,Austin,NY,US,chip,true,false,00,3,499.49,5,1,false
29.9,2024-10-18T19:00:00.000000,refund,4111,Chicago,TX,US,chip,true,false,00,3,207.02,4,2,false
439.13,2024-01-31T19:00:00.000000,refund,5814,Chicago,IL,US,contactless,false,false,00,0,166.9,3,3,false
473.53,2024-02-20T06:00:00.000000,purchase,5812,Chicago,IL,US,chip,true,true,51,0,280.21,1,2,false
43.74,2024-11-16T06:00:00.000000,purchase,4111,Austin,NY,US,chip,true,false,00,2,318.75,7,2,false
243.51,2024-05-15T21:00:00.000000,refund,7011,Austin,IL,US,ecommerce,true,false,00,4,5.65,4,3,false
35.54,2024-02-11T05:00:00.000000,refund,5814,Austin,TX,US,contactless,false,false,00,0,100.59,5,3,false
380.54,2024-05-02T05:00:00.000000,purchase,7011,Chicago,TX,US,ecommerce,false,false,51,4,140.81,7,2,false
383.15,2024-10-09T02:00:00.000000,purchase,5814,Chicago,TX,US,ecommerce,true,false,00,1,395.1,2,1,false
65.07,2024-03-21T00:00:00.000000,purchase,5912,New York,TX,US,chip,false,false,00,2,153.89,6,1,false
238.17,2024-07-28T14:00:00.000000,purchase,5912,Austin,NY,US,contactless,true,false,00,0,253.34,8,1,false
275.35,2024-12-18T19:00:00.000000,purchase,5912,Chicago,TX,US,chip,true,false,00,2,161.96,2,1,false
133.26,2024-08-28T09:00:00.000000,refund,5912,New York,NY,US,ecommerce,true,false,00,1,3.07,8,2,false
436.34,2024-01-17T07:00:00.000000,purchase,5912,New York,IL,US,contactless,true,false,00,1,342.92,4,2,false
212.15,2024-05-27T22:00:00.000000,purchase,5814,Austin,IL,US,ecommerce,true,false,51,2,170.68,3,3,false
106.69,2024-05-24T22:00:00.000000,refund,7011,Austin,NY,US,ecommerce,false,false,00,0,362.2,1,3,false
270.11,2024-08-20T02:00:00.000000,purchase,4111,Chicago,NY,US,contactless,true,false,00,2,308.0,4,2,false
365.24,2024-12-17T07:00:00.000000,refund,5812,New York,IL,US,chip,false,false,00,4,14.56,1,1,false
101.37,2024-05-15T20:00:00.000000,purchase,5812,Austin,IL,US,chip,true,false,51,4,87.81,4,3,false
156.55,2024-10-28T21:00:00.000000,purchase,5814,Austin,TX,US,ecommerce,false,false,00,4,165.26,8,3,false
497.58,2024-04-11T13:00:00.000000,purchase,7011,New York,NY,US,chip,true,false,00,4,168.97,7,2,false
325.29,2024-02-28T17:00:00.000000,purchase,5814,Austin,IL,US,contactless,true,false,00,4,336.24,2,2,false
219.61,2024-04-25T20:00:00.000000,refund,5812,New York,NY,US,contactless,true,true,00,1,458.08,5,1,false
259.27,2024-03-17T08:00:00.000000,purchase,5814,New York,IL,US,chip,true,false,00,0,398.63,8,2,false
61.38,2024-03-13T02:00:00.000000,refund,5814,Austin,NY,US,chip,true,false,00,0,322.83,8,3,false
113.12,2024-01-31T05:00:00.000000,refund,5912,New York,NY,US,ecommerce,false,false,51,3,240.75,1,3,false
169.7,2024-06-06T19:00:00.000000,purchase,5812,New York,IL,US,contactless,true,false,00,2,313.6,1,1,false
294.57,2024-10-18T09:00:00.000000,refund,5912,Chicago,TX,US,chip,false,false,00,1,446.03,6,1,false
115.83,2024-08-12T03:00:00.000000,refund,5912,New York,TX,US,chip,false,false,00,1,268.48,1,1,false
110.89,2024-08-27T22:00:00.000000,refund,4111,Austin,TX,US,chip,false,false,00,2,167.55,6,2,false
36.43,2024-06-04T22:00:00.000000,purchase,5814,New York,IL,US,ecommerce,true,false,00,2,391.99,1,2,false
315.92,2024-07-25T08:00:00.000000,purchase,4111,New York,IL,US,contactless,true,false,00,4,206.98,7,1,false
115.24,2024-09-13T17:00:00.000000,refund,5814,Austin,TX,US,ecommerce,true,false,00,1,371.29,2,3,false
452.8,2024-09-09T14:00:00.000000,refund,7011,New York,IL,US,contactless,true,false,00,1,417.55,4,3,false
429.96,2024-02-11T19:00:00.000000,purchase,5912,New York,IL,US,contactless,true,false,00,2,149.67,8,2,false
36.36,2024-01-21T13:00:00.000000,refund,5814,New York,TX,US,ecommerce,false,false,00,2,362.48,3,3,false
119.76,2024-06-14T19:00:00.000000,refund,5814,Austin,IL,US,chip,false,false,00,0,157.75,4,2,false
334.82,2024-05-08T00:00:00.000000,refund,5411,Chicago,IL,US,ecommerce,true,false,00,4,267.94,2,3,false
107.9,2024-02-16T07:00:00.000000,refund,7011,Chicago,NY,US,chip,true,false,00,3,104.13,1,2,false
67.02,2024-12-11T18:00:00.000000,refund,5912,New York,NY,US,ecommerce,false,false,51,4,342.75,3,2,false
467.82,2024-10-27T00:00:00.000000,refund,7011,Austin,TX,US,chip,false,false,00,1,399.77,8,3,false
285.95,2024-12-10T08:00:00.000000,purchase,4111,Austin,NY,US,ecommerce,true,false,00,0,444.01,1,3,false
236.86,2024-10-22T01:00:00.000000,purchase,4111,Austin,NY,US,contactless,true,false,51,2,176.8,8,2,false
392.53,2024-03-30T15:00:00.000000,purchase,5814,Austin,IL,US,chip,false,false,00,3,484.81,1,3,false
403.94,2024-09-22T20:00:00.000000,refund,5812,Chicago,NY,US,ecommerce,true,false,00,1,140.23,4,1,false
96.01,2024-08-14T08:00:00.000000,purchase,5814,Austin,IL,US,ecommerce,true,false,51,3,15.59,3,2,false
49.37,2024-04-02T18:00:00.000000,refund,5411,Chicago,NY,US,chip,false,false,00,4,491.81,1,3,false
216.09,2024-08-11T20:00:00.000000,refund,5814,New York,TX,US,contactless,true,false,51,0,313.26,3,3,false
212.37,2024-09-08T02:00:00.000000,purchase,5912,New York,IL,US,ecommerce,true,false,00,4,421.2,1,3,false
234.05,2024-08-28T11:00:00.000000,purchase,5411,Austin,NY,US,chip,true,false,00,2,285.49,5,1,false
364.81,2024-07-28T10:00:00.000000,refund,5814,Austin,IL,US,chip,true,false,51,0,194.78,2,2,false
337.01,2024-06-13T21:00:00.000000,purchase,4111,Chicago,TX,US,contactless,true,false,00,4,297.6,8,1,false
492.1,2024-02-23T05:00:00.000000,purchase,5912,New York,TX,US,contactless,true,false,00,3,432.3,3,3,false
50.11,2024-06-17T13:00:00.000000,refund,5814,New York,IL,US,contactless,true,false,00,0,375.77,2,1,false
201.91,2024-12-21T15:00:00.000000,refund,5912,Austin,TX,US,contactless,false,false,51,0,352.63,2,1,false
170.31,2024-05-27T21:00:00.000000,purchase,4111,Austin,TX,US,ecommerce,true,false,51,2,157.25,2,2,false
430.97,2024-07-24T17:00:00.000000,refund,5812,Chicago,NY,US,ecommerce,true,false,00,2,15.81,8,2,false
125.08,2024-01-19T14:00:00.000000,purchase,5812,Austin,TX,US,contactless,true,false,00,3,206.93,4,3,false
95.91,2024-02-15T10:00:00.000000,purchase,7011,Chicago,NY,US,contactless,false,false,51,3,248.53,2,1,false
224.86,2024-05-09T10:00:00.000000,refund,5814,New York,IL,US,contactless,true,false,00,0,118.82,4,2,false
211.52,2024-02-29T12:00:00.000000,refund,7011,Austin,TX,US,contactless,true,false,51,1,225.95,7,1,false
139.99,2024-09-20T00:00:00.000000,purchase,5912,Austin,IL,US,chip,true,false,00,4,475.36,6,1,false
125.65,2024-12-02T17:00:00.000000,refund,5814,Austin,TX,US,chip,true,false,51,0,108.07,7,2,false
461.71,2024-08-24T13:00:00.000000,purchase,5812,Chicago,NY,US,chip,true,false,00,3,151.16,6,2,false
222.12,2024-01-28T06:00:00.000000,refund,5411,New York,TX,US,chip,true,false,00,0,56.12,2,2,false
430.81,2024-09-22T11:00:00.000000,refund,7011,New York,IL,US,ecommerce,false,false,00,2,392.47,3,3,false
275.61,2024-11-14T15:00:00.000000,purchase,5912,New York,TX,US,chip,false,false,00,4,388.9,6,2,false
26.24,2024-11-16T14:00:00.000000,refund,7011,Austin,NY,US,chip,true,false,51,0,456.68,4,1,false
499.64,2024-01-27T06:00:00.000000,purchase,5812,New York,IL,US,chip,true,false,00,2,221.89,1,2,false
418.18,2024-05-16T17:00:00.000000,refund,5812,New York,NY,US,chip,true,false,00,4,12.47,3,2,false
484.53,2024-03-08T09:00:00.000000,purchase,5411,New York,TX,US,contactless,true,false,00,4,241.33,6,3,false
463.26,2024-08-12T22:00:00.000000,purchase,5912,Austin,TX,US,contactless,true,false,00,1,250.03,2,3,false
424.5,2024-09-05T03:00:00.000000,refund,7011,Austin,NY,US,contactless,false,false,00,2,95.11,2,1,false
83.99,2024-01-15T20:00:00.000000,purchase,5812,Chicago,IL,US,contactless,false,false,00,4,461.82,5,3,false
243.33,2024-11-07T07:00:00.000000,refund,5912,Chicago,NY,US,chip,true,false,00,1,366.22,3,1,false
107.66,2024-12-29T05:00:00.000000,purchase,5812,Chicago,IL,US,ecommerce,false,false,00,1,261.81,7,3,false
201.12,2024-06-08T17:00:00.000000,purchase,5411,Chicago,IL,US,contactless,true,false,51,0,387.77,3,1,false
30.26,2024-01-08T17:00:00.000000,purchase,5411,New York,IL,US,chip,true,false,00,3,71.65,6,1,false
190.11,2024-07-27T02:00:00.000000,refund,4111,Chicago,NY,US,contactless,true,false,00,3,435.9,3,3,false
492.67,2024-04-25T03:00:00.000000,refund,5814,Chicago,IL,US,contactless,true,true,00,4,411.07,8,1,false
133.34,2024-08-24T03:00:00.000000,purchase,5912,Chicago,NY,US,contactless,false,false,51,4,469.01,4,3,false
392.25,2024-11-27T04:00:00.000000,refund,4111,Austin,NY,US,contactless,true,false,51,4,338.36,1,2,false
228.05,2024-09-12T22:00:00.000000,refund,5411,New York,NY,US,chip,false,false,00,0,66.36,3,2,false
212.08,2024-05-29T16:00:00.000000,purchase,5912,Austin,TX,US,chip,true,false,51,1,362.29,2,3,false
478.7,2024-12-27T08:00:00.000000,purchase,5812,New York,TX,US,chip,true,false,00,3,229.68,7,2,false
497.72,2024-07-31T15:00:00.000000,purchase,5411,Chicago,TX,US,ecommerce,true,false,00,2,356.84,3,2,false
278.33,2024-08-29T07:00:00.000000,refund,7011,Austin,IL,US,contactless,true,false,51,3,261.17,1,3,false
359.49,2024-08-21T17:00:00.000000,purchase,5812,New York,TX,US,ecommerce,true,false,00,1,2.05,8,3,false
78.24,2024-03-15T12:00:00.000000,purchase,4111,Austin,TX,US,ecommerce,true,false,51,1,466.17,2,3,false
149.06,2024-04-07T19:00:00.000000,refund,5912,Austin,TX,US,ecommerce,true,false,00,2,343.53,1,2,false
484.39,2024-09-17T23:00:00.000000,purchase,4111,New York,IL,US,chip,false,false,00,0,297.14,1,1,false
290.01,2024-03-10T02:00:00.000000,refund,4111,New York,NY,US,chip,true,false,00,3,43.54,3,3,false
271.56,2024-05-21T13:00:00.000000,purchase,5912,Chicago,TX,US,contactless,true,false,00,4,233.44,2,3,false
374.24,2024-06-23T16:00:00.000000,refund,5812,Chicago,NY,US,chip,true,false,00,0,23.07,5,2,false
29.53,2024-05-16T00:00:00.000000,purchase,5814,Chicago,NY,US,chip,true,false,00,4,260.29,7,1,false
292.5,2024-05-24T23:00:00.000000,purchase,5814,Austin,NY,US,ecommerce,false,false,51,3,329.49,8,1,false
251.92,2024-06-01T18:00:00.000000,purchase,5814,Chicago,NY,US,chip,true,false,51,2,156.24,3,1,false
426.51,2024-10-23T21:00:00.000000,refund,5912,New York,TX,US,contactless,true,false,00,0,288.78,4,3,false
79.56,2024-09-07T04:00:00.000000,refund,5411,Austin,IL,US,contactless,true,true,00,3,156.07,3,2,false
480.43,2024-08-16T17:00:00.000000,purchase,5411,New York,TX,US,ecommerce,true,false,00,4,446.07,5,2,false
40.98,2024-09-04T11:00:00.000000,purchase,5912,Austin,IL,US,chip,true,false,51,3,160.44,8,2,false
93.73,2024-06-19T17:00:00.000000,refund,7011,New York,TX,US,ecommerce,true,false,00,1,96.27,7,2,false
297.92,2024-10-05T12:00:00.000000,purchase,5812,New York,TX,US,contactless,false,false,00,1,138.32,4,2,false
337.93,2024-08-21T10:00:00.000000,purchase,7011,Chicago,NY,US,contactless,true,false,51,3,159.57,3,1,false
118.37,2024-04-06T22:00:00.000000,purchase,5912,Chicago,IL,US,chip,false,false,51,4,220.56,1,1,false
60.82,2024-05-02T18:00:00.000000,refund,5912,Austin,TX,US,chip,true,false,00,1,58.83,3,1,false
445.25,2024-07-15T07:00:00.000000,refund,5411,Chicago,IL,US,contactless,true,true,00,3,74.66,8,1,false
123.86,2024-07-29T01:00:00.000000,purchase,5812,Austin,IL,US,contactless,false,false,51,3,136.82,2,3,false
297.67,2024-06-11T23:00:00.000000,refund,4111,New York,TX,US,ecommerce,true,false,00,4,7.63,5,1,false
