amount,transaction_type,sec_code,settlement_date,effective_date,days_to_settle,company_name,company_entry_desc,odfi_routing,rdfi_routing,receiver_account_type,is_returned,return_code,risk_score,is_fraud
627.77,credit,TEL,2024-04-08T07:00:00.000000,2024-07-09T05:00:00.000000,2,Employer Inc,SUBSCRIPTION,021000021,021000021,savings,false,,444,false
1123.96,credit,PPD,2024-02-16T05:00:00.000000,2024-11-13T09:00:00.000000,2,Employer Inc,PAYROLL,021000021,021000021,checking,false,,242,false
3140.89,credit,WEB,2024-06-24T17:00:00.000000,2024-02-09T06:00:00.000000,2,Employer Inc,SUBSCRIPTION,021000021,021000021,savings,false,,973,false
4739.07,credit,WEB,2024-02-16T10:00:00.000000,2024-01-17T15:00:00.000000,1,Employer Inc,PAYROLL,021000021,021000021,checking,false,,40,false
2889.74,debit,WEB,2024-05-02T11:00:00.000000,2024-10-07T15:00:00.000000,1,Employer Inc,INSURANCE PMT,021000021,021000021,checking,false,,294,false
1989.44,credit,WEB,2024-05-12T18:00:00.000000,2024-02-02T13:00:00.000000,1,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,115,false
4881.51,debit,CCD,2024-04-13T00:00:00.000000,2024-02-21T12:00:00.000000,1,Acme Corp,PAYROLL,021000021,021000021,checking,false,,312,false
242.45,debit,PPD,2024-07-30T12:00:00.000000,2024-12-05T17:00:00.000000,2,Employer Inc,PAYROLL,021000021,021000021,checking,false,,355,false
4293.76,credit,WEB,2024-07-30T23:00:00.000000,2024-03-20T20:00:00.000000,1,Acme Corp,INSURANCE PMT,021000021,021000021,savings,false,,663,false
1455.15,credit,CCD,2024-09-25T06:00:00.000000,2024-09-30T02:00:00.000000,1,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,170,false
729.83,credit,WEB,2024-07-11T08:00:00.000000,2024-11-30T05:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,savings,false,,123,false
597.78,credit,CCD,2024-06-22T01:00:00.000000,2024-07-22T22:00:00.000000,2,Netflix,PAYROLL,021000021,021000021,savings,false,,61,false
1549.32,credit,PPD,2024-09-12T08:00:00.000000,2024-05-18T13:00:00.000000,1,Netflix,INSURANCE PMT,021000021,021000021,checking,false,,608,false
4082.47,credit,WEB,2024-10-21T11:00:00.000000,2024-05-25T21:00:00.000000,2,Netflix,INSURANCE PMT,021000021,021000021,checking,false,,982,false
911.82,debit,TEL,2024-03-05T21:00:00.000000,2024-06-06T13:00:00.000000,2,Netflix,PAYROLL,021000021,021000021,checking,false,,979,false
2912.18,credit,PPD,2024-09-14T16:00:00.000000,2024-01-27T09:00:00.000000,1,Employer Inc,SUBSCRIPTION,021000021,021000021,checking,false,,943,false
3198.18,credit,TEL,2024-11-18T06:00:00.000000,2024-10-17T11:00:00.000000,2,Employer Inc,INSURANCE PMT,021000021,021000021,checking,false,,526,false
1868.26,credit,WEB,2024-02-17T08:00:00.000000,2024-07-31T13:00:00.000000,2,Acme Corp,PAYROLL,021000021,021000021,checking,false,,923,false
2743.24,debit,CCD,2024-05-07T12:00:00.000000,2024-01-10T11:00:00.000000,2,Netflix,INSURANCE PMT,021000021,021000021,savings,false,,274,false
323.32,credit,CCD,2024-07-23T20:00:00.000000,2024-11-25T06:00:00.000000,1,Acme Corp,PAYROLL,021000021,021000021,savings,false,,86,false
307.41,debit,PPD,2024-08-16T13:00:00.000000,2024-07-19T23:00:00.000000,1,Netflix,SUBSCRIPTION,021000021,021000021,savings,false,,477,false
1037.73,credit,PPD,2024-06-08T00:00:00.000000,2024-07-26T06:00:00.000000,2,Employer Inc,SUBSCRIPTION,021000021,021000021,checking,false,,604,false
3405.2,debit,WEB,2024-03-06T01:00:00.000000,2024-01-04T13:00:00.000000,1,Employer Inc,SUBSCRIPTION,021000021,021000021,savings,false,,546,false
2143.69,debit,PPD,2024-08-05T22:00:00.000000,2024-03-21T13:00:00.000000,2,Employer Inc,PAYROLL,021000021,021000021,checking,false,,954,false
1577.59,debit,CCD,2024-08-30T18:00:00.000000,2024-02-28T02:00:00.000000,1,Acme Corp,PAYROLL,021000021,021000021,savings,false,,151,false
2931.95,credit,TEL,2024-09-07T00:00:00.000000,2024-07-26T18:00:00.000000,2,Netflix,INSURANCE PMT,021000021,021000021,savings,false,,450,false
2271.39,credit,PPD,2024-02-07T12:00:00.000000,2024-07-05T14:00:00.000000,1,Netflix,INSURANCE PMT,021000021,021000021,savings,false,,126,false
1505.84,debit,TEL,2024-09-27T14:00:00.000000,2024-03-24T04:00:00.000000,1,Netflix,SUBSCRIPTION,021000021,021000021,savings,false,,523,false
3973.95,debit,PPD,2024-08-17T07:00:00.000000,2024-01-08T01:00:00.000000,1,Netflix,SUBSCRIPTION,021000021,021000021,checking,false,,134,false
3497.98,debit,WEB,2024-02-25T07:00:00.000000,2024-10-09T04:00:00.000000,1,Acme Corp,INSURANCE PMT,021000021,021000021,checking,false,,906,false
1228.04,credit,WEB,2024-03-20T04:00:00.000000,2024-11-24T12:00:00.000000,1,Employer Inc,SUBSCRIPTION,021000021,021000021,checking,false,,300,false
2876.37,credit,CCD,2024-09-24T21:00:00.000000,2024-02-15T18:00:00.000000,1,Netflix,INSURANCE PMT,021000021,021000021,savings,false,,937,false
2630.73,credit,PPD,2024-02-25T23:00:00.000000,2024-11-14T11:00:00.000000,1,Employer Inc,INSURANCE PMT,021000021,021000021,checking,false,,416,false
4376.94,debit,CCD,2024-12-24T20:00:00.000000,2024-09-15T05:00:00.000000,1,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,591,false
3649.93,credit,TEL,2024-08-22T02:00:00.000000,2024-03-15T11:00:00.000000,2,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,295,false
1446.81,credit,WEB,2024-10-09T01:00:00.000000,2024-05-25T05:00:00.000000,1,Acme Corp,INSURANCE PMT,021000021,021000021,savings,false,,280,false
4901.07,credit,TEL,2024-01-01T04:00:00.000000,2024-09-23T05:00:00.000000,1,Employer Inc,SUBSCRIPTION,021000021,021000021,savings,false,,249,false
599.15,credit,CCD,2024-04-29T18:00:00.000000,2024-02-04T03:00:00.000000,1,Netflix,PAYROLL,021000021,021000021,savings,false,,753,false
2096.43,credit,WEB,2024-01-20T20:00:00.000000,2024-07-15T15:00:00.000000,1,Acme Corp,PAYROLL,021000021,021000021,savings,false,,89,false
3788.13,debit,CCD,2024-06-04T04:00:00.000000,2024-04-11T09:00:00.000000,1,Netflix,SUBSCRIPTION,021000021,021000021,savings,false,,758,false
768.4,credit,PPD,2024-11-16T08:00:00.000000,2024-03-05T01:00:00.000000,1,Netflix,INSURANCE PMT,021000021,021000021,savings,false,,559,false
2449.93,credit,TEL,2024-09-27T20:00:00.000000,2024-09-04T10:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,checking,false,,294,false
205.64,debit,CCD,2024-08-11T22:00:00.000000,2024-01-28T19:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,savings,false,,859,false
3344.4,debit,PPD,2024-02-27T03:00:00.000000,2024-11-21T12:00:00.000000,1,Netflix,PAYROLL,021000021,021000021,checking,false,,465,false
3825.21,credit,CCD,2024-02-06T09:00:00.000000,2024-02-14T22:00:00.000000,2,Employer Inc,PAYROLL,021000021,021000021,checking,false,,624,false
2869.4,credit,PPD,2024-09-25T18:00:00.000000,2024-11-13T22:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,savings,false,,711,false
4378.63,credit,PPD,2024-04-08T12:00:00.000000,2024-03-23T20:00:00.000000,1,Acme Corp,PAYROLL,021000021,021000021,savings,false,,583,false
1575.6,credit,PPD,2024-05-13T07:00:00.000000,2024-04-23T19:00:00.000000,2,Employer Inc,SUBSCRIPTION,021000021,021000021,checking,true,,226,false
3479.52,debit,CCD,2024-11-03T00:00:00.000000,2024-07-26T19:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,savings,false,,665,false
2975.91,credit,WEB,2024-01-06T17:00:00.000000,2024-04-10T15:00:00.000000,1,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,395,false
2903.68,credit,PPD,2024-06-03T14:00:00.000000,2024-04-03T18:00:00.000000,1,Netflix,PAYROLL,021000021,021000021,savings,false,,206,false
2286.46,debit,TEL,2024-05-22T10:00:00.000000,2024-04-21T01:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,checking,false,,561,false
4201.44,credit,TEL,2024-11-26T07:00:00.000000,2024-07-23T16:00:00.000000,1,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,727,false
4723.96,credit,PPD,2024-08-31T16:00:00.000000,2024-03-21T12:00:00.000000,1,Netflix,INSURANCE PMT,021000021,021000021,savings,false,,375,false
2375.75,debit,PPD,2024-04-30T17:00:00.000000,2024-07-02T03:00:00.000000,1,Employer Inc,PAYROLL,021000021,021000021,checking,false,,471,false
3324.12,debit,CCD,2024-05-06T00:00:00.000000,2024-03-17T07:00:00.000000,1,Acme Corp,PAYROLL,021000021,021000021,savings,false,,913,false
312.74,credit,TEL,2024-07-29T22:00:00.000000,2024-04-08T01:00:00.000000,2,Employer Inc,PAYROLL,021000021,021000021,savings,false,,561,false
3510.45,debit,WEB,2024-11-28T09:00:00.000000,2024-10-14T21:00:00.000000,2,Netflix,SUBSCRIPTION,021000021,021000021,savings,false,,310,false
3239.17,debit,PPD,2024-01-29T00:00:00.000000,2024-01-20T21:00:00.000000,1,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,627,false
4965.55,debit,TEL,2024-04-09T15:00:00.000000,2024-06-14T03:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,checking,false,,489,false
4111.4,credit,PPD,2024-12-11T20:00:00.000000,2024-07-18T19:00:00.000000,1,Employer Inc,PAYROLL,021000021,021000021,checking,false,,480,false
1430.13,debit,PPD,2024-08-03T02:00:00.000000,2024-08-21T17:00:00.000000,1,Netflix,INSURANCE PMT,021000021,021000021,savings,false,,838,false
1935.1,credit,PPD,2024-05-11T07:00:00.000000,2024-11-17T09:00:00.000000,2,Employer Inc,PAYROLL,021000021,021000021,checking,false,,317,false
3346.58,debit,TEL,2024-12-07T13:00:00.000000,2024-11-28T13:00:00.000000,2,Netflix,SUBSCRIPTION,021000021,021000021,checking,false,,31,false
122.59,credit,WEB,2024-07-08T07:00:00.000000,2024-06-06T18:00:00.000000,2,Netflix,INSURANCE PMT,021000021,021000021,savings,false,,248,false
2313.86,debit,PPD,2024-09-09T01:00:00.000000,2024-05-07T13:00:00.000000,2,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,341,false
848.56,credit,WEB,2024-12-22T10:00:00.000000,2024-07-18T21:00:00.000000,2,Netflix,INSURANCE PMT,021000021,021000021,savings,false,,226,false
594.31,debit,CCD,2024-08-03T11:00:00.000000,2024-07-07T14:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,checking,false,,193,false
304.18,debit,CCD,2024-12-15T12:00:00.000000,2024-09-14T14:00:00.000000,2,Employer Inc,SUBSCRIPTION,021000021,021000021,savings,false,,524,false
3843.48,debit,CCD,2024-04-11T00:00:00.000000,2024-04-01T00:00:00.000000,2,Acme Corp,PAYROLL,021000021,021000021,savings,false,,559,false
655.41,credit,TEL,2024-05-29T23:00:00.000000,2024-01-02T19:00:00.000000,2,Netflix,INSURANCE PMT,021000021,021000021,checking,false,,392,false
1245.6,credit,TEL,2024-09-15T02:00:00.000000,2024-09-07T14:00:00.000000,1,Employer Inc,INSURANCE PMT,021000021,021000021,checking,false,,992,false
1960.84,debit,TEL,2024-04-15T15:00:00.000000,2024-04-30T14:00:00.000000,2,Acme Corp,INSURANCE PMT,021000021,021000021,savings,false,,599,false
4358.4,credit,PPD,2024-04-12T09:00:00.000000,2024-11-12T14:00:00.000000,2,Employer Inc,INSURANCE PMT,021000021,021000021,checking,false,,405,false
412.1,credit,TEL,2024-04-09T07:00:00.000000,2024-04-01T15:00:00.000000,2,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,12,false
2251.45,debit,WEB,2024-08-26T07:00:00.000000,2024-07-23T03:00:00.000000,2,Netflix,SUBSCRIPTION,021000021,021000021,savings,false,,946,false
2751.71,credit,PPD,2024-05-15T09:00:00.000000,2024-02-04T04:00:00.000000,1,Employer Inc,PAYROLL,021000021,021000021,checking,false,,361,false
4418.09,credit,CCD,2024-02-25T19:00:00.000000,2024-07-02T13:00:00.000000,2,Acme Corp,INSURANCE PMT,021000021,021000021,savings,false,,166,false
4098.21,debit,PPD,2024-09-10T19:00:00.000000,2024-07-06T02:00:00.000000,1,Netflix,INSURANCE PMT,021000021,021000021,checking,false,,882,false
4321.28,credit,CCD,2024-04-05T07:00:00.000000,2024-08-14T16:00:00.000000,2,Netflix,INSURANCE PMT,021000021,021000021,savings,false,,974,false
1399.32,debit,WEB,2024-09-05T13:00:00.000000,2024-09-18T21:00:00.000000,1,Netflix,INSURANCE PMT,021000021,021000021,savings,false,,244,false
2082.33,credit,WEB,2024-12-06T01:00:00.000000,2024-01-21T01:00:00.000000,2,Netflix,INSURANCE PMT,021000021,021000021,checking,false,,331,false
1800.27,debit,WEB,2024-10-31T04:00:00.000000,2024-11-21T04:00:00.000000,2,Acme Corp,INSURANCE PMT,021000021,021000021,savings,false,,570,false
4422.12,credit,CCD,2024-07-20T01:00:00.000000,2024-02-12T23:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,checking,false,,333,false
4789.08,credit,PPD,2024-04-19T00:00:00.000000,2024-06-09T23:00:00.000000,1,Acme Corp,INSURANCE PMT,021000021,021000021,checking,false,,503,false
763.1,debit,TEL,2024-11-01T04:00:00.000000,2024-09-18T02:00:00.000000,1,Netflix,SUBSCRIPTION,021000021,021000021,savings,false,,276,false
889.33,debit,PPD,2024-07-31T01:00:00.000000,2024-01-28T16:00:00.000000,2,Netflix,INSURANCE PMT,021000021,021000021,savings,false,,291,false
1167.46,credit,TEL,2024-12-29T01:00:00.000000,2024-07-12T20:00:00.000000,1,Employer Inc,PAYROLL,021000021,021000021,savings,false,,899,false
1174.35,credit,WEB,2024-04-04T12:00:00.000000,2024-03-10T00:00:00.000000,2,Employer Inc,SUBSCRIPTION,021000021,021000021,savings,false,,221,false
2429.96,credit,PPD,2024-08-18T22:00:00.000000,2024-02-03T19:00:00.000000,1,Employer Inc,INSURANCE PMT,021000021,021000021,checking,false,,302,false
2949.73,debit,CCD,2024-06-09T23:00:00.000000,2024-12-20T03:00:00.000000,1,Netflix,PAYROLL,021000021,021000021,checking,false,,58,false
1321.11,debit,TEL,2024-02-27T02:00:00.000000,2024-04-09T04:00:00.000000,2,Employer Inc,INSURANCE PMT,021000021,021000021,checking,false,,790,false
30.43,debit,WEB,2024-03-25T10:00:00.000000,2024-09-08T09:00:00.000000,1,Netflix,PAYROLL,021000021,021000021,checking,true,,22,false
2100.54,debit,WEB,2024-04-07T05:00:00.000000,2024-03-25T21:00:00.000000,1,Acme Corp,INSURANCE PMT,021000021,021000021,checking,false,,162,false
1852.58,credit,TEL,2024-11-30T16:00:00.000000,2024-04-23T02:00:00.000000,2,Acme Corp,SUBSCRIPTION,021000021,021000021,checking,false,,564,false
2836.04,debit,TEL,2024-08-27T01:00:00.000000,2024-06-28T19:00:00.000000,2,Netflix,INSURANCE PMT,021000021,021000021,savings,false,,68,false
4765.96,debit,TEL,2024-06-08T21:00:00.000000,2024-05-09T05:00:00.000000,1,Employer Inc,PAYROLL,021000021,021000021,savings,false,,620,false
3455.56,credit,PPD,2024-07-12T11:00:00.000000,2024-06-14T19:00:00.000000,2,Netflix,SUBSCRIPTION,021000021,021000021,savings,false,,892,false
2582.3,debit,CCD,2024-06-18T14:00:00.000000,2024-05-20T14:00:00.000000,1,Employer Inc,SUBSCRIPTION,021000021,021000021,savings,false,,356,false
3091.79,credit,WEB,2024-03-27T03:00:00.000000,2024-03-14T08:00:00.000000,2,Acme Corp,PAYROLL,021000021,021000021,checking,false,,450,false
3384.24,debit,PPD,2024-01-02T02:00:00.000000,2024-09-14T15:00:00.000000,2,Netflix,PAYROLL,021000021,021000021,checking,false,,673,false
279.42,debit,TEL,2024-05-23T02:00:00.000000,2024-04-16T18:00:00.000000,2,Netflix,INSURANCE PMT,021000021,021000021,checking,false,,63,false
4498.67,debit,PPD,2024-06-28T13:00:00.000000,2024-05-14T19:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,savings,false,,529,false
3902.05,credit,WEB,2024-03-04T17:00:00.000000,2024-09-16T07:00:00.000000,2,Acme Corp,SUBSCRIPTION,021000021,021000021,savings,false,,397,false
4373.82,debit,TEL,2024-04-16T12:00:00.000000,2024-06-12T11:00:00.000000,1,Acme Corp,INSURANCE PMT,021000021,021000021,checking,false,,854,false
3991.39,debit,PPD,2024-07-01T09:00:00.000000,2024-01-19T06:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,savings,false,,450,false
1967.97,debit,TEL,2024-08-09T02:00:00.000000,2024-04-03T12:00:00.000000,2,Employer Inc,SUBSCRIPTION,021000021,021000021,savings,false,,362,false
2000.9,credit,WEB,2024-01-26T22:00:00.000000,2024-03-23T20:00:00.000000,1,Acme Corp,PAYROLL,021000021,021000021,checking,false,,753,false
526.65,credit,TEL,2024-08-30T06:00:00.000000,2024-05-22T21:00:00.000000,1,Netflix,INSURANCE PMT,021000021,021000021,checking,false,,781,false
3175.1,credit,CCD,2024-07-09T17:00:00.000000,2024-06-16T12:00:00.000000,1,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,111,false
320.62,credit,CCD,2024-08-16T06:00:00.000000,2024-03-27T08:00:00.000000,2,Employer Inc,PAYROLL,021000021,021000021,checking,false,,533,false
346.06,credit,PPD,2024-06-14T11:00:00.000000,2024-02-28T16:00:00.000000,1,Employer Inc,PAYROLL,021000021,021000021,savings,false,,230,false
1051.73,debit,PPD,2024-08-30T00:00:00.000000,2024-01-25T20:00:00.000000,2,Acme Corp,PAYROLL,021000021,021000021,savings,false,,982,false
819.89,debit,CCD,2024-11-19T13:00:00.000000,2024-07-03T14:00:00.000000,2,Acme Corp,PAYROLL,021000021,021000021,checking,false,,693,false
1706.87,credit,WEB,2024-05-06T20:00:00.000000,2024-10-11T16:00:00.000000,1,Netflix,INSURANCE PMT,021000021,021000021,checking,false,,756,false
272.35,credit,WEB,2024-07-26T01:00:00.000000,2024-10-23T22:00:00.000000,2,Employer Inc,SUBSCRIPTION,021000021,021000021,checking,false,,956,false
11.16,debit,CCD,2024-07-11T01:00:00.000000,2024-02-23T08:00:00.000000,2,Employer Inc,SUBSCRIPTION,021000021,021000021,checking,false,,158,false
764.81,credit,WEB,2024-08-25T02:00:00.000000,2024-10-01T20:00:00.000000,1,Netflix,PAYROLL,021000021,021000021,savings,false,,426,false
516.31,debit,PPD,2024-02-01T08:00:00.000000,2024-07-20T23:00:00.000000,2,Netflix,SUBSCRIPTION,021000021,021000021,checking,false,,345,false
1824.41,debit,WEB,2024-04-09T23:00:00.000000,2024-07-09T08:00:00.000000,1,Netflix,SUBSCRIPTION,021000021,021000021,savings,false,,684,false
137.25,debit,CCD,2024-02-02T19:00:00.000000,2024-07-11T11:00:00.000000,2,Employer Inc,SUBSCRIPTION,021000021,021000021,savings,false,,360,false
4372.92,credit,TEL,2024-06-22T11:00:00.000000,2024-10-22T04:00:00.000000,1,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,143,false
3074.2,debit,TEL,2024-05-19T10:00:00.000000,2024-07-03T10:00:00.000000,2,Acme Corp,SUBSCRIPTION,021000021,021000021,checking,false,,691,false
751.27,debit,TEL,2024-11-11T01:00:00.000000,2024-02-11T14:00:00.000000,2,Netflix,PAYROLL,021000021,021000021,savings,false,,207,false
1268.77,credit,PPD,2024-05-14T23:00:00.000000,2024-04-27T05:00:00.000000,2,Netflix,SUBSCRIPTION,021000021,021000021,checking,false,,631,false
1743.47,debit,CCD,2024-12-19T10:00:00.000000,2024-11-11T23:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,savings,false,,625,false
1827.18,credit,PPD,2024-05-21T09:00:00.000000,2024-01-25T09:00:00.000000,2,Netflix,SUBSCRIPTION,021000021,021000021,checking,false,,870,false
622.98,credit,TEL,2024-01-02T23:00:00.000000,2024-09-21T08:00:00.000000,1,Employer Inc,SUBSCRIPTION,021000021,021000021,savings,false,,283,false
4246.2,debit,TEL,2024-10-31T20:00:00.000000,2024-06-07T20:00:00.000000,2,Netflix,SUBSCRIPTION,021000021,021000021,checking,false,,840,false
4965.58,credit,TEL,2024-02-03T00:00:00.000000,2024-10-26T21:00:00.000000,1,Employer Inc,SUBSCRIPTION,021000021,021000021,checking,false,,859,false
2335.29,debit,WEB,2024-04-29T03:00:00.000000,2024-06-09T23:00:00.000000,1,Netflix,PAYROLL,021000021,021000021,savings,false,,530,false
2424.33,credit,CCD,2024-08-31T22:00:00.000000,2024-01-01T23:00:00.000000,2,Netflix,PAYROLL,021000021,021000021,checking,false,,97,false
438.56,credit,TEL,2024-08-26T12:00:00.000000,2024-01-18T07:00:00.000000,2,Employer Inc,PAYROLL,021000021,021000021,checking,false,,756,false
519.92,debit,WEB,2024-05-08T13:00:00.000000,2024-03-17T09:00:00.000000,1,Acme Corp,SUBSCRIPTION,021000021,021000021,checking,false,,876,false
1719.75,credit,TEL,2024-09-09T04:00:00.000000,2024-11-11T20:00:00.000000,2,Netflix,SUBSCRIPTION,021000021,021000021,checking,false,,761,false
1331.14,credit,WEB,2024-09-11T05:00:00.000000,2024-08-09T13:00:00.000000,2,Acme Corp,INSURANCE PMT,021000021,021000021,savings,false,,944,false
4145.99,credit,PPD,2024-01-05T23:00:00.000000,2024-09-19T11:00:00.000000,1,Employer Inc,SUBSCRIPTION,021000021,021000021,savings,false,,777,false
815.58,debit,WEB,2024-06-04T22:00:00.000000,2024-01-25T04:00:00.000000,2,Netflix,PAYROLL,021000021,021000021,savings,false,,486,false
125.25,credit,PPD,2024-03-18T19:00:00.000000,2024-09-07T07:00:00.000000,2,Netflix,PAYROLL,021000021,021000021,checking,false,,275,false
4755.42,debit,WEB,2024-04-30T10:00:00.000000,2024-11-09T20:00:00.000000,2,Acme Corp,SUBSCRIPTION,021000021,021000021,savings,false,,803,false
2646.0,credit,WEB,2024-06-12T14:00:00.000000,2024-01-24T00:00:00.000000,1,Employer Inc,PAYROLL,021000021,021000021,checking,false,,645,false
741.55,debit,TEL,2024-07-04T19:00:00.000000,2024-01-28T00:00:00.000000,1,Netflix,PAYROLL,021000021,021000021,checking,false,,725,false
2720.43,debit,PPD,2024-02-10T16:00:00.000000,2024-10-17T11:00:00.000000,2,Netflix,INSURANCE PMT,021000021,021000021,savings,false,,647,false
144.94,debit,CCD,2024-04-11T12:00:00.000000,2024-06-04T03:00:00.000000,2,Netflix,PAYROLL,021000021,021000021,savings,false,,936,false
2645.27,credit,PPD,2024-03-22T07:00:00.000000,2024-09-24T11:00:00.000000,1,Netflix,SUBSCRIPTION,021000021,021000021,checking,false,,720,false
4892.72,credit,WEB,2024-07-27T02:00:00.000000,2024-09-30T07:00:00.000000,1,Netflix,PAYROLL,021000021,021000021,checking,false,,130,false
4317.99,credit,WEB,2024-11-28T01:00:00.000000,2024-07-30T18:00:00.000000,2,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,422,false
3484.02,credit,WEB,2024-09-03T17:00:00.000000,2024-06-03T18:00:00.000000,2,Employer Inc,PAYROLL,021000021,021000021,checking,false,,891,false
1312.96,credit,PPD,2024-10-05T10:00:00.000000,2024-03-09T06:00:00.000000,1,Acme Corp,INSURANCE PMT,021000021,021000021,savings,false,,105,false
1839.83,debit,TEL,2024-03-23T13:00:00.000000,2024-07-06T19:00:00.000000,1,Employer Inc,SUBSCRIPTION,021000021,021000021,checking,false,,4,false
843.54,credit,TEL,2024-02-23T02:00:00.000000,2024-08-31T05:00:00.000000,1,Netflix,SUBSCRIPTION,021000021,021000021,savings,false,,420,false
3861.97,credit,PPD,2024-05-15T19:00:00.000000,2024-03-09T00:00:00.000000,2,Acme Corp,INSURANCE PMT,021000021,021000021,checking,false,,784,false
2667.64,credit,WEB,2024-02-13T06:00:00.000000,2024-05-04T22:00:00.000000,2,Netflix,INSURANCE PMT,021000021,021000021,checking,false,,563,false
3897.48,debit,TEL,2024-02-19T13:00:00.000000,2024-03-17T14:00:00.000000,1,Netflix,PAYROLL,021000021,021000021,checking,false,,599,false
1655.03,debit,WEB,2024-09-12T22:00:00.000000,2024-02-19T02:00:00.000000,1,Acme Corp,INSURANCE PMT,021000021,021000021,checking,false,,120,false
1122.98,credit,PPD,2024-08-16T05:00:00.000000,2024-11-22T04:00:00.000000,2,Acme Corp,PAYROLL,021000021,021000021,savings,false,,509,false
4059.44,debit,WEB,2024-04-29T04:00:00.000000,2024-12-06T08:00:00.000000,1,Employer Inc,INSURANCE PMT,021000021,021000021,savings,false,,407,false
4924.78,debit,PPD,2024-08-01T14:00:00.000000,2024-07-24T08:00:00.000000,2,Netflix,PAYROLL,021000021,021000021,checking,false,,985,false
4264.62,credit,PPD,2024-11-13T21:00:00.000000,2024-01-06T01:00:00.000000,1,Acme Corp,INSURANCE PMT,021000021,021000021,checking,false,,585,false
