amount,currency,amount_usd,timestamp,settlement_time_mins,network,wire_type,originator_name,originator_country,beneficiary_name,beneficiary_country,imad,purpose_code,ofac_screened,aml_alert,is_suspicious
82789.74,USD,153553.66,2024-03-22T12:00:00.000000,48,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000054,TRAD,true,false,false
133606.3,USD,127864.3,2024-03-25T11:00:00.000000,58,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000055,GDDS,true,false,false
180220.88,USD,297354.21,2024-03-26T12:00:00.000000,30,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000056,TRAD,true,false,false
188440.09,USD,137088.75,2024-03-27T10:00:00.000000,50,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000057,GDDS,true,false,false
70192.69,USD,215316.15,2024-03-28T13:00:00.000000,45,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000058,SVCS,true,false,false
425979.09,USD,74226.1,2024-03-29T17:00:00.000000,16,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000059,SVCS,true,false,false
496620.33,USD,455908.36,2024-04-01T16:00:00.000000,97,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000060,SVCS,true,false,false
238334.83,USD,183354.17,2024-04-02T14:00:00.000000,51,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000061,GDDS,true,false,false
247078.98,USD,234498.88,2024-04-03T16:00:00.000000,7,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000062,TRAD,true,false,false
52083.48,USD,295840.9,2024-04-04T13:00:00.000000,48,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000063,SALA,true,false,false
60071.93,USD,453105.42,2024-04-05T10:00:00.000000,75,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000064,TRAD,true,false,false
177891.56,USD,216107.85,2024-04-08T10:00:00.000000,63,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000065,SALA,true,false,false
139730.88,USD,459683.33,2024-04-09T17:00:00.000000,61,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000066,SVCS,true,false,false
416139.14,USD,255807.98,2024-04-10T15:00:00.000000,95,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000067,TRAD,true,false,false
89104.92,USD,270594.23,2024-04-11T11:00:00.000000,7,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000068,GDDS,true,false,false
21316.9,USD,266518.23,2024-04-12T14:00:00.000000,54,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000069,SALA,true,false,false
475982.93,USD,19165.39,2024-04-15T11:00:00.000000,47,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000070,SVCS,true,false,false
268846.12,USD,225661.21,2024-04-16T16:00:00.000000,71,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000071,SVCS,true,false,false
81835.24,USD,99722.86,2024-04-17T15:00:00.000000,84,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000072,SALA,true,false,false
276154.49,USD,11926.92,2024-04-18T09:00:00.000000,42,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000073,SALA,true,false,false
23250.82,USD,401593.52,2024-04-19T10:00:00.000000,70,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000074,SALA,true,false,false
268773.63,USD,94449.89,2024-04-22T17:00:00.000000,13,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000075,TRAD,true,false,false
489465.61,USD,242011.54,2024-04-23T14:00:00.000000,19,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000076,GDDS,true,false,false
433029.26,USD,365344.7,2024-04-24T14:00:00.000000,105,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000077,SVCS,true,false,false
351136.43,USD,282673.06,2024-04-25T14:00:00.000000,34,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000078,TRAD,true,false,false
137946.45,USD,169731.25,2024-04-26T16:00:00.000000,117,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000079,SALA,true,false,false
189682.9,USD,263990.87,2024-04-29T16:00:00.000000,18,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000080,TRAD,true,false,false
91850.6,USD,282166.52,2024-04-30T10:00:00.000000,15,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000081,SVCS,true,false,false
388249.58,USD,394293.51,2024-05-01T10:00:00.000000,38,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000082,SALA,true,false,false
270970.27,USD,61993.61,2024-05-02T13:00:00.000000,39,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000083,TRAD,true,false,false
391736.9,USD,284545.11,2024-05-03T16:00:00.000000,10,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000084,SALA,true,false,false
171535.85,USD,131762.22,2024-05-06T10:00:00.000000,120,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000085,SVCS,true,false,false
119290.42,USD,145689.36,2024-05-07T09:00:00.000000,104,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000086,SALA,true,false,false
407640.51,USD,388407.94,2024-05-08T13:00:00.000000,28,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000087,GDDS,true,false,false
492613.76,USD,258779.86,2024-05-09T16:00:00.000000,39,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000088,GDDS,true,false,false
427788.11,USD,285247.4,2024-05-10T13:00:00.000000,101,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000089,TRAD,true,false,false
404978.51,USD,382396.64,2024-05-13T15:00:00.000000,21,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000090,TRAD,true,false,false
410983.14,USD,457119.14,2024-05-14T14:00:00.000000,109,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000091,GDDS,true,false,false
372537.78,USD,227191.71,2024-05-15T09:00:00.000000,59,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000092,SVCS,true,false,false
121102.35,USD,310138.66,2024-05-16T16:00:00.000000,113,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000093,SVCS,true,false,false
263642.97,USD,257721.03,2024-05-17T14:00:00.000000,91,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000094,GDDS,true,false,false
184225.65,USD,260959.12,2024-05-20T11:00:00.000000,109,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000095,SVCS,true,false,false
24200.27,USD,349438.19,2024-05-21T10:00:00.000000,38,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000096,TRAD,true,false,false
23689.17,USD,231649.44,2024-05-22T16:00:00.000000,56,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000097,SVCS,true,false,false
146915.08,USD,271309.86,2024-05-23T09:00:00.000000,24,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000098,GDDS,true,false,false
136995.44,USD,244237.8,2024-05-24T12:00:00.000000,73,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000099,SALA,true,false,false
