amount,currency,amount_usd,timestamp,settlement_time_mins,network,wire_type,originator_name,originator_country,beneficiary_name,beneficiary_country,imad,purpose_code,ofac_screened,aml_alert,is_suspicious
258754.81,USD,248468.99,2024-02-21T10:00:00.000000,79,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000032,TRAD,true,false,false
107466.44,USD,103049.95,2024-02-22T10:00:00.000000,75,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000033,SALA,true,false,false
193217.79,USD,116673.44,2024-02-23T15:00:00.000000,23,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000034,SALA,true,false,false
89159.03,USD,38656.81,2024-02-26T10:00:00.000000,60,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000035,TRAD,true,false,false
477214.88,USD,370511.22,2024-02-27T14:00:00.000000,21,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000036,SVCS,true,false,false
461992.7,USD,39869.21,2024-02-28T14:00:00.000000,10,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000037,SVCS,true,false,false
460061.81,USD,163666.36,2024-02-29T13:00:00.000000,44,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000038,SALA,true,false,false
303482.85,USD,34569.75,2024-03-01T09:00:00.000000,51,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000039,SALA,true,false,false
249416.8,USD,243626.37,2024-03-04T16:00:00.000000,120,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000040,GDDS,true,false,false
64815.19,USD,460499.69,2024-03-05T17:00:00.000000,106,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000041,SALA,true,false,false
187860.58,USD,270251.81,2024-03-06T10:00:00.000000,115,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000042,GDDS,true,false,false
492807.48,USD,37870.99,2024-03-07T15:00:00.000000,10,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000043,SVCS,true,false,false
405319.65,USD,258835.96,2024-03-08T10:00:00.000000,120,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000044,SALA,true,false,false
127331.63,USD,427157.85,2024-03-11T17:00:00.000000,50,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000045,SALA,true,false,false
128027.08,USD,43575.45,2024-03-12T13:00:00.000000,31,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000046,TRAD,true,false,false
288004.9,USD,43300.82,2024-03-13T14:00:00.000000,92,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000047,SALA,true,false,false
48590.95,USD,432291.41,2024-03-14T12:00:00.000000,36,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000048,SVCS,true,false,false
368634.72,USD,207850.02,2024-03-15T10:00:00.000000,90,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000049,SALA,true,false,false
409851.39,USD,471382.1,2024-03-18T09:00:00.000000,18,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000050,GDDS,true,false,false
489212.4,USD,289140.95,2024-03-19T12:00:00.000000,50,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000051,SALA,true,false,false
271026.02,USD,293670.34,2024-03-20T13:00:00.000000,104,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000052,GDDS,true,false,false
71622.65,USD,29473.41,2024-03-21T10:00:00.000000,76,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000053,TRAD,true,false,false
333277.9,USD,50171.87,2024-03-22T12:00:00.000000,118,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000054,SALA,true,false,false
473955.85,USD,332112.85,2024-03-25T10:00:00.000000,116,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000055,TRAD,true,false,false
90912.21,USD,286961.19,2024-03-26T15:00:00.000000,57,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000056,TRAD,true,false,false
268560.16,USD,165021.22,2024-03-27T13:00:00.000000,84,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000057,SALA,true,false,false
307231.02,USD,137775.19,2024-03-28T16:00:00.000000,100,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000058,GDDS,true,false,false
482537.82,USD,338165.73,2024-03-29T14:00:00.000000,24,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000059,SALA,true,false,false
465167.61,USD,163950.09,2024-04-01T11:00:00.000000,35,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000060,GDDS,true,false,false
380079.95,USD,140151.11,2024-04-02T14:00:00.000000,115,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000061,TRAD,true,false,false
348035.14,USD,74130.36,2024-04-03T14:00:00.000000,25,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000062,SVCS,true,false,false
359345.0,USD,326295.39,2024-04-04T12:00:00.000000,107,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000063,SALA,true,false,false
205506.23,USD,234040.04,2024-04-05T13:00:00.000000,108,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000064,SVCS,true,false,false
339126.61,USD,465218.98,2024-04-08T10:00:00.000000,27,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000065,GDDS,true,false,false
192976.05,USD,468509.8,2024-04-09T11:00:00.000000,117,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000066,SALA,true,false,false
450810.9,USD,14564.57,2024-04-10T17:00:00.000000,57,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000067,SVCS,true,false,false
231228.21,USD,314368.04,2024-04-11T12:00:00.000000,8,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000068,SVCS,true,false,false
131473.75,USD,285866.89,2024-04-12T11:00:00.000000,27,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000069,SALA,true,false,false
41372.69,USD,58990.81,2024-04-15T16:00:00.000000,99,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000070,SVCS,true,false,false
20306.79,USD,273440.86,2024-04-16T15:00:00.000000,47,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000071,SALA,true,false,false
281421.55,USD,257883.5,2024-04-17T13:00:00.000000,105,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000072,SVCS,true,false,false
298335.66,USD,74903.72,2024-04-18T17:00:00.000000,57,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000073,TRAD,true,false,false
13523.51,USD,181014.33,2024-04-19T12:00:00.000000,107,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000074,SALA,true,false,false
356842.06,USD,43707.74,2024-04-22T14:00:00.000000,90,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000075,TRAD,true,false,false
38848.15,USD,129699.36,2024-04-23T09:00:00.000000,115,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000076,TRAD,true,false,false
43026.16,USD,149643.82,2024-04-24T12:00:00.000000,99,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000077,SVCS,true,false,false
25392.35,USD,224710.44,2024-04-25T09:00:00.000000,108,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000078,GDDS,true,false,false
171909.96,USD,276176.8,2024-04-26T14:00:00.000000,36,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000079,TRAD,true,false,false
261936.5,USD,158233.4,2024-04-29T15:00:00.000000,39,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000080,TRAD,true,false,false
146453.86,USD,492088.12,2024-04-30T13:00:00.000000,25,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000081,TRAD,true,false,false
247853.1,USD,405478.97,2024-05-01T10:00:00.000000,105,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000082,GDDS,true,false,false
274224.63,USD,269180.94,2024-05-02T12:00:00.000000,94,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000083,GDDS,true,false,false
364442.76,USD,337252.97,2024-05-03T14:00:00.000000,18,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000084,TRAD,true,false,false
442367.71,USD,281755.12,2024-05-06T12:00:00.000000,53,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000085,GDDS,true,false,false
292343.71,USD,466560.46,2024-05-07T16:00:00.000000,116,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000086,GDDS,true,false,false
129068.65,USD,60757.39,2024-05-08T15:00:00.000000,9,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000087,GDDS,true,false,false
241756.74,USD,440282.21,2024-05-09T16:00:00.000000,114,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000088,SALA,true,false,false
209459.38,USD,139588.3,2024-05-10T11:00:00.000000,65,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000089,TRAD,true,false,false
56219.64,USD,445959.23,2024-05-13T13:00:00.000000,33,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000090,GDDS,true,false,false
332901.55,USD,373784.18,2024-05-14T11:00:00.000000,30,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000091,SALA,true,false,false
183605.81,USD,86169.48,2024-05-15T12:00:00.000000,109,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000092,SVCS,true,false,false
211440.12,USD,148060.57,2024-05-16T17:00:00.000000,63,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000093,SVCS,true,false,false
433280.01,USD,113208.53,2024-05-17T17:00:00.000000,49,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000094,GDDS,true,false,false
36543.88,USD,178011.34,2024-05-20T13:00:00.000000,44,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000095,TRAD,true,false,false
330193.19,USD,346873.59,2024-05-21T15:00:00.000000,110,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000096,GDDS,true,false,false
326628.08,USD,427927.28,2024-05-22T15:00:00.000000,106,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000097,SVCS,true,false,false
39700.21,USD,257650.44,2024-05-23T14:00:00.000000,116,chips,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000098,TRAD,true,false,false
366824.66,USD,133049.41,2024-05-24T12:00:00.000000,34,fedwire,domestic,Acme Corp LLC,US,Vendor Inc,US,20240102BANKID0000099,TRAD,true,false,false
