amount,timestamp,direction,sender_token,receiver_token,payment_category,device_type,is_new_recipient,recipient_enrolled,sender_txn_count_24h,sender_amount_24h,account_age_days,is_disputed,dispute_reason,dispute_outcome
478.82,2024-03-20T01:00:00.000000,receive,tok_000024,tok_000025,personal,mobile_android,false,true,3,831.32,442,false,,
171.61,2024-02-27T18:00:00.000000,receive,tok_000025,tok_000026,food,mobile_ios,false,true,0,730.15,82,false,,
50.91,2024-06-18T00:00:00.000000,send,tok_000026,tok_000027,rent,web,false,true,2,348.33,124,false,,
52.87,2024-04-13T04:00:00.000000,send,tok_000027,tok_000028,utilities,mobile_ios,false,true,3,343.07,816,false,,
424.51,2024-03-12T20:00:00.000000,receive,tok_000028,tok_000029,personal,mobile_android,false,true,3,784.27,1038,false,,
303.84,2024-03-13T05:00:00.000000,receive,tok_000029,tok_000030,rent,mobile_android,false,true,4,521.11,587,false,,
404.53,2024-06-14T10:00:00.000000,receive,tok_000030,tok_000031,rent,mobile_ios,true,true,1,348.3,1288,false,,
366.22,2024-04-13T15:00:00.000000,receive,tok_000031,tok_000032,personal,mobile_android,false,true,5,97.62,1460,false,,
270.43,2024-05-18T04:00:00.000000,receive,tok_000032,tok_000033,personal,web,true,true,1,721.99,1027,false,,
486.69,2024-01-08T21:00:00.000000,send,tok_000033,tok_000034,personal,web,false,true,2,452.45,851,false,,
192.37,2024-03-07T23:00:00.000000,receive,tok_000034,tok_000035,rent,mobile_android,true,true,5,67.17,868,false,,
278.26,2024-05-29T02:00:00.000000,send,tok_000035,tok_000036,personal,mobile_android,false,true,0,44.68,1438,false,,
415.56,2024-01-10T21:00:00.000000,receive,tok_000036,tok_000037,personal,mobile_android,false,true,5,710.78,824,false,,
311.17,2024-06-02T07:00:00.000000,receive,tok_000037,tok_000038,rent,mobile_android,false,true,5,22.59,169,false,,
431.54,2024-03-30T17:00:00.000000,receive,tok_000038,tok_000039,rent,web,false,true,0,343.08,1312,false,,
290.79,2024-03-22T07:00:00.000000,send,tok_000039,tok_000040,utilities,web,false,true,0,109.36,1099,false,,
353.76,2024-06-05T10:00:00.000000,receive,tok_000040,tok_000041,food,mobile_android,true,true,3,800.05,1102,false,,
27.68,2024-01-31T06:00:00.000000,send,tok_000041,tok_000042,rent,mobile_ios,false,true,3,929.92,1262,false,,
117.81,2024-05-28T00:00:00.000000,receive,tok_000042,tok_000043,food,mobile_ios,false,true,3,740.49,313,false,,
148.25,2024-03-06T19:00:00.000000,receive,tok_000043,tok_000044,utilities,web,false,true,4,515.99,569,false,,
44.5,2024-04-21T18:00:00.000000,send,tok_000044,tok_000045,utilities,mobile_ios,false,true,3,551.91,172,false,,
120.23,2024-05-14T11:00:00.000000,send,tok_000045,tok_000046,personal,mobile_android,false,true,0,330.99,635,false,,
55.0,2024-06-25T17:00:00.000000,receive,tok_000046,tok_000047,utilities,mobile_ios,false,true,5,426.37,162,false,,
142.6,2024-06-21T00:00:00.000000,receive,tok_000047,tok_000048,personal,web,true,true,0,462.05,1048,false,,
319.66,2024-04-04T07:00:00.000000,receive,tok_000048,tok_000049,personal,mobile_android,false,true,5,797.76,417,false,,
185.59,2024-01-19T15:00:00.000000,send,tok_000049,tok_000050,rent,mobile_android,false,false,1,629.76,319,false,,
188.24,2024-03-26T13:00:00.000000,send,tok_000050,tok_000051,rent,web,false,true,0,186.39,1099,false,,
108.71,2024-03-22T15:00:00.000000,receive,tok_000051,tok_000052,food,mobile_ios,false,true,3,657.31,670,false,,
137.15,2024-02-02T17:00:00.000000,send,tok_000052,tok_000053,personal,web,false,true,3,395.58,801,false,,
468.64,2024-03-18T10:00:00.000000,receive,tok_000053,tok_000054,personal,web,false,true,5,737.39,1202,false,,
325.78,2024-03-21T15:00:00.000000,receive,tok_000054,tok_000055,food,mobile_ios,false,true,2,883.1,1300,false,,
306.52,2024-04-15T04:00:00.000000,receive,tok_000055,tok_000056,personal,mobile_android,false,true,4,449.58,1331,false,,
89.71,2024-04-14T16:00:00.000000,send,tok_000056,tok_000057,utilities,mobile_ios,false,true,0,429.55,1395,false,,
365.92,2024-03-17T11:00:00.000000,send,tok_000057,tok_000058,personal,mobile_ios,false,true,4,4.45,1318,false,,
85.88,2024-02-03T00:00:00.000000,send,tok_000058,tok_000059,personal,mobile_android,false,true,0,214.8,136,false,,
192.83,2024-04-18T15:00:00.000000,send,tok_000059,tok_000060,personal,mobile_android,false,true,1,278.34,636,false,,
494.81,2024-04-08T15:00:00.000000,receive,tok_000060,tok_000061,rent,web,true,true,1,703.76,1431,false,,
321.8,2024-02-15T13:00:00.000000,send,tok_000061,tok_000062,utilities,mobile_ios,true,true,5,796.01,896,false,,
280.69,2024-05-26T03:00:00.000000,receive,tok_000062,tok_000063,personal,mobile_android,false,true,4,577.35,1495,false,,
343.88,2024-04-14T11:00:00.000000,send,tok_000063,tok_000064,utilities,mobile_ios,false,true,3,799.5,489,false,,
422.21,2024-01-02T03:00:00.000000,send,tok_000064,tok_000065,utilities,mobile_ios,false,true,2,536.89,119,false,,
389.12,2024-03-15T00:00:00.000000,send,tok_000065,tok_000066,utilities,mobile_android,false,true,0,365.79,501,false,,
118.38,2024-04-21T12:00:00.000000,receive,tok_000066,tok_000067,food,mobile_android,false,true,0,197.07,177,false,,
20.89,2024-06-05T14:00:00.000000,send,tok_000067,tok_000068,personal,mobile_ios,false,true,5,113.95,890,false,,
161.15,2024-03-24T08:00:00.000000,send,tok_000068,tok_000069,rent,mobile_android,false,true,2,670.7,238,false,,
137.53,2024-04-24T08:00:00.000000,receive,tok_000069,tok_000070,rent,mobile_ios,false,true,4,489.48,929,false,,
109.44,2024-06-22T00:00:00.000000,receive,tok_000070,tok_000071,rent,mobile_android,false,true,4,965.92,1254,false,,
471.74,2024-05-11T09:00:00.000000,receive,tok_000071,tok_000072,rent,web,false,true,5,313.4,1247,false,,
438.8,2024-02-14T15:00:00.000000,receive,tok_000072,tok_000073,personal,mobile_android,false,true,0,388.64,113,false,,
160.77,2024-01-23T03:00:00.000000,receive,tok_000073,tok_000074,rent,mobile_ios,true,true,1,392.54,634,false,,
329.44,2024-05-12T15:00:00.000000,receive,tok_000074,tok_000075,utilities,mobile_android,false,true,2,114.23,1365,false,,
200.84,2024-06-12T13:00:00.000000,send,tok_000075,tok_000076,food,mobile_ios,false,true,0,351.98,1348,false,,
457.7,2024-03-26T20:00:00.000000,receive,tok_000076,tok_000077,rent,mobile_android,false,true,1,457.86,360,false,,
232.13,2024-03-02T15:00:00.000000,send,tok_000077,tok_000078,utilities,mobile_ios,false,true,4,172.53,245,false,,
136.12,2024-03-21T01:00:00.000000,receive,tok_000078,tok_000079,rent,mobile_ios,false,true,1,673.59,26,false,,
127.08,2024-02-20T22:00:00.000000,send,tok_000079,tok_000080,personal,mobile_android,false,true,5,800.61,1450,false,,
282.88,2024-01-07T19:00:00.000000,send,tok_000080,tok_000081,utilities,mobile_ios,false,true,3,918.68,282,false,,
135.06,2024-03-04T09:00:00.000000,send,tok_000081,tok_000082,personal,web,false,true,0,590.17,1437,false,,
294.37,2024-06-05T20:00:00.000000,receive,tok_000082,tok_000083,rent,web,false,true,2,672.11,24,false,,
449.42,2024-04-27T07:00:00.000000,receive,tok_000083,tok_000084,utilities,mobile_android,false,true,1,313.19,336,false,,
202.7,2024-06-11T12:00:00.000000,receive,tok_000084,tok_000085,utilities,mobile_ios,false,true,4,238.57,1017,false,,
113.56,2024-02-20T16:00:00.000000,receive,tok_000085,tok_000086,utilities,mobile_ios,false,true,1,116.95,711,false,,
498.78,2024-06-28T06:00:00.000000,send,tok_000086,tok_000087,rent,mobile_ios,true,true,4,373.31,1072,false,,
257.22,2024-05-07T06:00:00.000000,receive,tok_000087,tok_000088,food,mobile_android,true,true,3,141.36,1060,false,,
50.0,2024-03-03T22:00:00.000000,receive,tok_000088,tok_000089,food,mobile_android,false,true,5,388.46,1477,false,,
28.32,2024-06-17T16:00:00.000000,receive,tok_000089,tok_000090,personal,web,false,true,4,596.43,531,false,,
59.28,2024-01-02T21:00:00.000000,send,tok_000090,tok_000091,food,mobile_ios,false,true,2,574.81,342,false,,
315.59,2024-04-19T01:00:00.000000,receive,tok_000091,tok_000092,rent,web,false,true,3,423.04,762,false,,
397.08,2024-02-16T16:00:00.000000,receive,tok_000092,tok_000093,utilities,mobile_android,false,true,5,486.67,260,false,,
213.97,2024-05-13T08:00:00.000000,receive,tok_000093,tok_000094,utilities,mobile_android,false,true,1,537.38,551,false,,
36.45,2024-01-14T11:00:00.000000,receive,tok_000094,tok_000095,rent,web,false,true,5,919.16,242,true,,
193.9,2024-03-04T21:00:00.000000,receive,tok_000095,tok_000096,utilities,mobile_ios,false,true,5,930.69,61,false,,
498.08,2024-04-26T22:00:00.000000,receive,tok_000096,tok_000097,food,mobile_ios,false,true,0,173.23,687,false,,
266.91,2024-04-29T15:00:00.000000,receive,tok_000097,tok_000098,personal,mobile_ios,false,true,4,166.87,880,false,,
485.68,2024-05-16T11:00:00.000000,send,tok_000098,tok_000099,rent,mobile_android,false,true,5,288.83,558,false,,
431.09,2024-06-02T04:00:00.000000,send,tok_000099,tok_000100,utilities,mobile_ios,false,true,2,187.1,1073,false,,
10.68,2024-04-24T13:00:00.000000,receive,tok_000100,tok_000101,rent,mobile_ios,false,true,0,841.99,131,false,,
361.76,2024-05-10T07:00:00.000000,send,tok_000101,tok_000102,food,web,false,true,0,619.41,539,false,,
342.45,2024-05-21T08:00:00.000000,receive,tok_000102,tok_000103,utilities,web,true,true,3,865.52,1459,false,,
270.8,2024-02-11T17:00:00.000000,send,tok_000103,tok_000104,utilities,web,true,true,1,951.84,1181,false,,
137.08,2024-05-02T08:00:00.000000,receive,tok_000104,tok_000105,utilities,web,false,true,0,484.61,1286,false,,
322.28,2024-03-08T01:00:00.000000,receive,tok_000105,tok_000106,utilities,mobile_android,false,true,2,195.13,158,false,,
60.22,2024-06-13T02:00:00.000000,receive,tok_000106,tok_000107,rent,mobile_ios,false,true,4,383.94,1017,false,,
220.21,2024-05-14T09:00:00.000000,receive,tok_000107,tok_000108,food,mobile_android,false,true,4,561.58,933,false,,
229.59,2024-06-10T01:00:00.000000,send,tok_000108,tok_000109,food,mobile_ios,false,true,4,653.07,1047,false,,
477.14,2024-03-12T08:00:00.000000,receive,tok_000109,tok_000110,personal,mobile_android,false,true,3,409.13,738,false,,
438.55,2024-01-21T16:00:00.000000,send,tok_000110,tok_000111,rent,mobile_ios,false,true,2,491.73,114,false,,
135.38,2024-03-15T01:00:00.000000,send,tok_000111,tok_000112,food,mobile_ios,false,true,0,710.14,1024,false,,
252.79,2024-03-11T04:00:00.000000,receive,tok_000112,tok_000113,rent,mobile_ios,false,true,5,443.85,1161,false,,
93.43,2024-03-23T11:00:00.000000,send,tok_000113,tok_000114,rent,mobile_android,true,false,2,167.25,342,false,,
456.75,2024-01-21T22:00:00.000000,receive,tok_000114,tok_000115,food,web,false,true,3,565.4,754,false,,
435.91,2024-02-09T01:00:00.000000,send,tok_000115,tok_000116,personal,web,false,true,3,795.88,323,false,,
152.73,2024-04-09T16:00:00.000000,receive,tok_000116,tok_000117,personal,mobile_android,false,true,1,220.53,523,false,,
321.28,2024-02-10T16:00:00.000000,send,tok_000117,tok_000118,personal,mobile_ios,false,true,2,32.7,211,false,,
306.44,2024-02-24T20:00:00.000000,send,tok_000118,tok_000119,utilities,mobile_ios,false,true,4,224.84,1176,false,,
80.66,2024-04-17T07:00:00.000000,receive,tok_000119,tok_000120,food,mobile_android,false,true,3,288.67,1381,false,,
382.44,2024-03-26T11:00:00.000000,send,tok_000120,tok_000121,utilities,web,true,true,3,780.74,1481,false,,
271.99,2024-04-30T07:00:00.000000,send,tok_000121,tok_000122,utilities,web,false,false,1,565.65,237,false,,
390.42,2024-01-17T00:00:00.000000,receive,tok_000122,tok_000123,utilities,mobile_ios,false,true,5,772.55,468,false,,
267.53,2024-04-18T06:00:00.000000,receive,tok_000123,tok_000124,rent,web,false,true,4,495.31,1043,false,,
5.28,2024-05-30T16:00:00.000000,receive,tok_000124,tok_000125,rent,web,false,false,5,510.81,6,false,,
165.46,2024-01-07T12:00:00.000000,receive,tok_000125,tok_000126,food,web,false,true,3,572.71,91,false,,
14.64,2024-04-08T09:00:00.000000,send,tok_000126,tok_000127,food,mobile_ios,false,true,0,267.89,26,false,,
464.9,2024-01-03T05:00:00.000000,receive,tok_000127,tok_000128,rent,web,false,true,4,543.11,501,false,,
439.97,2024-03-18T06:00:00.000000,receive,tok_000128,tok_000129,rent,mobile_ios,false,true,2,990.89,95,false,,
416.67,2024-04-18T11:00:00.000000,receive,tok_000129,tok_000130,utilities,mobile_android,false,true,1,542.04,967,false,,
157.22,2024-05-20T13:00:00.000000,receive,tok_000130,tok_000131,personal,mobile_android,false,true,5,756.79,746,false,,
33.67,2024-02-27T09:00:00.000000,send,tok_000131,tok_000132,personal,mobile_ios,false,true,0,760.0,785,false,,
439.61,2024-02-27T02:00:00.000000,send,tok_000132,tok_000133,personal,web,false,true,0,441.37,308,false,,
473.74,2024-04-22T09:00:00.000000,send,tok_000133,tok_000134,personal,mobile_android,false,true,2,218.54,367,false,,
47.4,2024-01-09T06:00:00.000000,receive,tok_000134,tok_000135,personal,mobile_ios,false,true,1,425.15,73,false,,
245.57,2024-03-28T15:00:00.000000,send,tok_000135,tok_000136,utilities,web,true,true,3,735.99,1133,false,,
39.26,2024-06-23T06:00:00.000000,send,tok_000136,tok_000137,food,mobile_android,false,true,5,653.67,1463,false,,
381.5,2024-02-13T08:00:00.000000,receive,tok_000137,tok_000138,rent,mobile_ios,false,true,5,247.53,1343,false,,
384.09,2024-02-03T13:00:00.000000,send,tok_000138,tok_000139,utilities,web,false,true,1,874.81,859,false,,
68.55,2024-05-16T18:00:00.000000,send,tok_000139,tok_000140,personal,web,false,true,5,32.23,460,false,,
240.26,2024-04-11T12:00:00.000000,receive,tok_000140,tok_000141,rent,mobile_ios,false,true,3,262.82,660,false,,
277.15,2024-05-25T15:00:00.000000,send,tok_000141,tok_000142,utilities,web,true,true,2,862.2,509,false,,
136.2,2024-01-07T20:00:00.000000,receive,tok_000142,tok_000143,personal,mobile_android,false,true,2,86.98,853,false,,
436.85,2024-06-14T07:00:00.000000,send,tok_000143,tok_000144,utilities,mobile_ios,false,true,0,865.29,1476,false,,
214.45,2024-02-05T08:00:00.000000,send,tok_000144,tok_000145,rent,web,false,true,0,117.39,656,false,,
109.84,2024-02-16T19:00:00.000000,receive,tok_000145,tok_000146,food,web,false,true,0,811.89,556,false,,
271.95,2024-03-08T06:00:00.000000,send,tok_000146,tok_000147,personal,web,false,true,2,209.88,160,false,,
366.32,2024-03-25T00:00:00.000000,receive,tok_000147,tok_000148,rent,web,false,true,3,737.61,1171,false,,
104.57,2024-04-27T04:00:00.000000,receive,tok_000148,tok_000149,rent,web,false,true,2,689.13,764,false,,
159.3,2024-03-28T06:00:00.000000,receive,tok_000149,tok_000150,food,mobile_ios,false,true,2,861.05,245,false,,
497.6,2024-03-13T07:00:00.000000,receive,tok_000150,tok_000151,utilities,mobile_android,false,true,0,610.26,1029,false,,
326.69,2024-03-05T20:00:00.000000,send,tok_000151,tok_000152,food,mobile_android,false,true,1,428.17,1379,false,,
221.86,2024-04-30T18:00:00.000000,send,tok_000152,tok_000153,food,mobile_ios,false,true,0,616.15,108,false,,
261.2,2024-05-18T19:00:00.000000,receive,tok_000153,tok_000154,utilities,web,false,true,1,784.85,368,false,,
64.9,2024-03-31T01:00:00.000000,send,tok_000154,tok_000155,utilities,mobile_android,false,true,3,813.53,458,false,,
116.23,2024-06-15T20:00:00.000000,send,tok_000155,tok_000156,utilities,mobile_android,false,true,3,805.44,1057,false,,
172.35,2024-06-15T19:00:00.000000,send,tok_000156,tok_000157,rent,mobile_android,false,true,4,570.07,95,false,,
296.21,2024-01-09T01:00:00.000000,send,tok_000157,tok_000158,rent,web,true,true,4,532.28,822,false,,
118.91,2024-02-21T18:00:00.000000,receive,tok_000158,tok_000159,personal,mobile_ios,false,true,4,596.86,142,false,,
114.01,2024-06-08T22:00:00.000000,send,tok_000159,tok_000160,personal,mobile_android,false,true,3,168.38,953,false,,
40.14,2024-03-02T22:00:00.000000,receive,tok_000160,tok_000161,food,mobile_ios,false,true,0,979.0,579,true,,
317.4,2024-05-02T15:00:00.000000,send,tok_000161,tok_000162,food,mobile_android,false,true,0,292.63,637,false,,
118.33,2024-01-31T12:00:00.000000,send,tok_000162,tok_000163,personal,mobile_ios,false,true,0,572.74,671,false,,
453.18,2024-02-26T08:00:00.000000,receive,tok_000163,tok_000164,food,web,true,true,2,952.4,177,false,,
430.52,2024-06-29T02:00:00.000000,receive,tok_000164,tok_000165,utilities,web,false,true,4,514.41,1133,false,,
40.07,2024-04-04T23:00:00.000000,receive,tok_000165,tok_000166,rent,web,false,true,0,900.16,936,false,,
122.81,2024-06-05T13:00:00.000000,receive,tok_000166,tok_000167,personal,mobile_ios,false,true,4,815.18,17,false,,
336.14,2024-01-30T23:00:00.000000,send,tok_000167,tok_000168,rent,web,false,true,4,135.59,756,false,,
111.05,2024-03-20T21:00:00.000000,receive,tok_000168,tok_000169,personal,web,false,true,2,750.09,411,false,,
70.49,2024-05-28T18:00:00.000000,receive,tok_000169,tok_000170,rent,mobile_android,false,true,3,411.6,598,false,,
468.08,2024-03-21T12:00:00.000000,send,tok_000170,tok_000171,personal,mobile_ios,false,true,0,59.29,1155,false,,
287.67,2024-06-23T06:00:00.000000,send,tok_000171,tok_000172,rent,mobile_ios,false,true,2,277.32,623,false,,
238.97,2024-04-12T16:00:00.000000,receive,tok_000172,tok_000173,utilities,mobile_android,false,true,3,655.9,1276,false,,
393.39,2024-02-20T20:00:00.000000,receive,tok_000173,tok_000174,personal,web,true,true,3,701.43,497,false,,
404.71,2024-06-01T16:00:00.000000,receive,tok_000174,tok_000175,personal,mobile_android,true,true,0,132.69,951,false,,
99.25,2024-06-10T01:00:00.000000,receive,tok_000175,tok_000176,personal,web,false,true,5,146.24,755,false,,
52.98,2024-01-28T16:00:00.000000,receive,tok_000176,tok_000177,utilities,mobile_ios,false,true,4,322.1,1212,false,,
218.37,2024-03-19T15:00:00.000000,receive,tok_000177,tok_000178,rent,web,false,true,1,247.55,1011,false,,
214.67,2024-06-02T21:00:00.000000,receive,tok_000178,tok_000179,personal,mobile_android,false,true,4,843.56,401,false,,
236.18,2024-05-24T19:00:00.000000,send,tok_000179,tok_000180,rent,web,false,true,4,392.7,1120,false,,
365.89,2024-03-30T11:00:00.000000,receive,tok_000180,tok_000181,utilities,mobile_android,false,true,1,142.17,503,false,,
338.32,2024-04-20T15:00:00.000000,receive,tok_000181,tok_000182,food,web,false,true,5,632.4,309,false,,
492.16,2024-04-04T20:00:00.000000,send,tok_000182,tok_000183,personal,mobile_ios,false,true,3,627.81,14,false,,
53.72,2024-05-10T14:00:00.000000,send,tok_000183,tok_000184,utilities,mobile_ios,false,true,1,375.17,840,false,,
204.3,2024-03-28T18:00:00.000000,receive,tok_000184,tok_000185,rent,mobile_ios,false,true,1,75.52,49,false,,
172.95,2024-04-18T09:00:00.000000,receive,tok_000185,tok_000186,personal,web,false,true,2,794.6,478,false,,
431.53,2024-01-29T07:00:00.000000,receive,tok_000186,tok_000187,rent,mobile_android,false,true,2,768.88,1110,false,,
128.08,2024-04-03T14:00:00.000000,receive,tok_000187,tok_000188,food,mobile_ios,false,true,2,402.85,710,false,,
99.15,2024-04-28T16:00:00.000000,send,tok_000188,tok_000189,personal,mobile_android,false,true,3,749.8,1303,false,,
227.06,2024-02-10T07:00:00.000000,receive,tok_000189,tok_000190,personal,mobile_ios,false,false,1,694.7,1421,false,,
213.83,2024-02-16T17:00:00.000000,receive,tok_000190,tok_000191,rent,mobile_ios,false,true,0,877.32,20,false,,
142.88,2024-05-14T14:00:00.000000,send,tok_000191,tok_000192,personal,mobile_ios,false,true,1,454.7,687,false,,
128.65,2024-03-11T13:00:00.000000,send,tok_000192,tok_000193,utilities,mobile_ios,false,true,3,488.04,3,false,,
462.02,2024-05-18T09:00:00.000000,receive,tok_000193,tok_000194,utilities,mobile_android,false,true,2,581.96,1347,false,,
224.35,2024-04-30T07:00:00.000000,receive,tok_000194,tok_000195,food,mobile_android,false,true,3,868.91,771,false,,
431.37,2024-06-01T02:00:00.000000,send,tok_000195,tok_000196,utilities,web,false,true,2,847.17,1490,false,,
277.41,2024-03-24T01:00:00.000000,receive,tok_000196,tok_000197,food,mobile_android,false,true,3,93.14,630,false,,
30.04,2024-01-24T02:00:00.000000,send,tok_000197,tok_000198,rent,web,false,true,0,972.15,213,false,,
499.64,2024-04-26T01:00:00.000000,send,tok_000198,tok_000199,rent,mobile_android,false,true,2,634.84,421,false,,
418.83,2024-04-29T12:00:00.000000,receive,tok_000199,tok_000200,food,mobile_android,true,true,2,697.29,1086,false,,
484.65,2024-06-06T15:00:00.000000,send,tok_000200,tok_000201,utilities,mobile_ios,false,true,1,850.11,488,false,,
463.55,2024-04-08T04:00:00.000000,send,tok_000201,tok_000202,utilities,web,false,true,5,795.68,860,false,,
425.1,2024-01-09T09:00:00.000000,send,tok_000202,tok_000203,food,mobile_ios,false,true,5,397.72,1008,false,,
87.32,2024-03-24T23:00:00.000000,receive,tok_000203,tok_000204,food,mobile_android,false,true,3,968.13,123,false,,
245.39,2024-05-05T00:00:00.000000,receive,tok_000204,tok_000205,rent,mobile_android,false,true,4,824.85,292,false,,
110.8,2024-04-01T02:00:00.000000,send,tok_000205,tok_000206,food,mobile_ios,false,false,4,494.71,1458,false,,
203.51,2024-03-29T02:00:00.000000,receive,tok_000206,tok_000207,utilities,web,false,true,1,322.87,574,false,,
34.02,2024-06-02T16:00:00.000000,send,tok_000207,tok_000208,food,mobile_android,false,true,3,283.59,191,false,,
192.59,2024-03-12T11:00:00.000000,send,tok_000208,tok_000209,food,mobile_android,false,true,0,547.31,90,false,,
492.73,2024-01-04T10:00:00.000000,receive,tok_000209,tok_000210,food,mobile_ios,false,true,1,130.59,475,false,,
136.28,2024-02-18T20:00:00.000000,receive,tok_000210,tok_000211,rent,mobile_android,false,true,2,852.42,1065,false,,
393.11,2024-03-03T17:00:00.000000,receive,tok_000211,tok_000212,food,mobile_android,true,true,0,788.3,846,false,,
230.23,2024-04-15T09:00:00.000000,send,tok_000212,tok_000213,personal,mobile_android,false,true,3,894.15,1436,false,,
214.39,2024-05-23T01:00:00.000000,send,tok_000213,tok_000214,personal,web,true,true,2,762.25,763,false,,
478.87,2024-06-26T09:00:00.000000,send,tok_000214,tok_000215,personal,mobile_android,false,true,4,45.94,939,false,,
497.73,2024-06-15T16:00:00.000000,receive,tok_000215,tok_000216,utilities,mobile_android,true,true,3,626.18,174,false,,
280.11,2024-05-06T08:00:00.000000,receive,tok_000216,tok_000217,utilities,mobile_android,true,true,2,836.7,1190,false,,
360.61,2024-01-05T20:00:00.000000,send,tok_000217,tok_000218,food,mobile_ios,false,true,3,16.28,196,false,,
81.62,2024-03-17T01:00:00.000000,receive,tok_000218,tok_000219,personal,mobile_android,false,true,2,929.43,1036,false,,
151.87,2024-04-14T16:00:00.000000,receive,tok_000219,tok_000220,rent,web,false,true,3,157.98,274,false,,
484.51,2024-03-04T03:00:00.000000,receive,tok_000220,tok_000221,personal,mobile_android,false,true,5,456.52,1306,false,,
291.69,2024-06-19T12:00:00.000000,receive,tok_000221,tok_000222,personal,mobile_android,false,true,4,991.84,808,false,,
273.39,2024-04-05T09:00:00.000000,send,tok_000222,tok_000223,utilities,web,false,true,1,427.8,154,false,,
375.25,2024-05-22T10:00:00.000000,receive,tok_000223,tok_000224,utilities,mobile_android,false,true,2,995.69,1213,false,,
33.3,2024-03-30T07:00:00.000000,send,tok_000224,tok_000225,rent,mobile_ios,false,true,2,909.41,1163,false,,
294.17,2024-05-21T04:00:00.000000,send,tok_000225,tok_000226,utilities,web,true,true,4,882.15,128,false,,
253.91,2024-04-01T16:00:00.000000,send,tok_000226,tok_000227,rent,mobile_android,true,true,5,301.87,891,false,,
427.1,2024-04-27T02:00:00.000000,receive,tok_000227,tok_000228,utilities,mobile_ios,false,false,1,874.42,1357,false,,
82.93,2024-03-20T02:00:00.000000,receive,tok_000228,tok_000229,personal,mobile_android,false,true,3,876.6,268,false,,
480.59,2024-02-29T21:00:00.000000,send,tok_000229,tok_000230,personal,web,false,true,2,93.34,485,false,,
44.66,2024-02-20T04:00:00.000000,receive,tok_000230,tok_000231,rent,mobile_ios,false,false,1,360.44,598,false,,
96.98,2024-02-01T17:00:00.000000,send,tok_000231,tok_000232,rent,web,false,true,3,82.42,535,false,,
299.54,2024-05-18T16:00:00.000000,receive,tok_000232,tok_000233,utilities,mobile_android,false,false,2,664.51,646,false,,
